96,1487858.949,6391699.667,-13.463,-39.067,1487866.592,6391703.134,380.810,-13.441,-39.014
97,1487845.246,6391660.898,-13.945,-38.447,1487852.936,6391664.019,380.671,-13.959,-38.412
98,1487831.122,6391622.646,-14.308,-38.034,1487838.984,6391625.452,381.003,-14.332,-37.986
99,1487816.743,6391584.641,-14.454,-37.953,1487824.754,6391587.370,382.119,-14.429,-37.971
100,1487802.080,6391546.879,-14.875,-37.547,1487810.301,6391549.577,381.564,-14.866,-37.528
101,1487786.940,6391509.499,-15.408,-37.190,1487795.403,6391512.071,380.706,-15.420,-37.144
102,1487771.317,6391472.319,-15.843,-37.147,1487779.929,6391474.908,381.317,-15.833,-37.123
103,1487755.199,6391435.133,-16.396,-37.201,1487763.974,6391437.859,381.360,-16.378,-37.201
104,1487738.425,6391397.967,-17.154,-37.107,1487747.517,6391400.841,382.552,-17.146,-37.070
105,1487720.844,6391360.777,-18.011,-37.249,1487730.392,6391363.793,382.002,-18.024,-37.266
106,1487702.459,6391323.602,-18.763,-37.079,1487712.489,6391326.717,381.918,-18.807,-37.058
107,1487683.527,6391286.564,-19.104,-36.972,1487693.861,6391289.641,382.399,-19.093,-36.954
108,1487664.192,6391249.617,-19.569,-36.899,1487674.640,6391252.651,382.548,-19.572,-36.883
109,1487644.398,6391212.735,-20.023,-36.841,1487655.085,6391215.748,383.001,-20.018,-36.826
110,1487624.111,6391175.907,-20.553,-36.791,1487635.103,6391178.903,383.681,-20.537,-36.780
111,1487603.207,6391139.147,-21.260,-36.705,1487614.509,6391142.057,382.543,-21.265,-36.692
112,1487581.612,6391102.480,-21.934,-36.607,1487593.247,6391105.269,383.867,-21.953,-36.612
113,1487559.429,6391066.009,-22.436,-36.311,1487571.298,6391068.738,382.803,-22.464,-36.245
114,1487536.874,6391029.578,-22.676,-36.527,1487548.941,6391032.351,383.401,-22.670,-36.519
115,1487514.037,6390992.961,-23.001,-36.683,1487526.288,6390995.908,381.767,-22.991,-36.691
116,1487490.815,6390956.298,-23.447,-36.619,1487503.264,6390959.350,382.867,-23.467,-36.613
117,1487467.236,6390919.740,-23.714,-36.471,1487479.904,6390922.706,384.509,-23.718,-36.444
118,1487443.397,6390883.266,-23.966,-36.454,1487456.231,6390886.148,385.196,-23.989,-36.413
119,1487419.411,6390846.673,-24.009,-36.708,1487432.298,6390849.620,384.097,-24.023,-36.715
120,1487395.441,6390809.932,-23.935,-36.751,1487408.364,6390812.947,383.790,-23.898,-36.741
121,1487371.349,6390773.168,-24.253,-36.753,1487384.392,6390776.188,385.173,-24.291,-36.745
122,1487347.122,6390736.434,-24.205,-36.692,1487360.274,6390739.431,384.972,-24.221,-36.687
